316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
6XT,PIPER,Piston,No,2004,2007,2004-2007,Yes,17,20,1,"18,000","1,841",9.50,36.20,27.80,"9,560",4.10,3.60,8.30,122.51,24,7.8,800,161,5,"$389,000","$317,180",2.5,258,$0,$138.00,0.0,0,$0,"$82,215","$55,200","$47,543","$137,415","$64,758","$784,609","$467,429","$713,143",0.66,"-$245,714",4.87,9.52,0.97,9.81,8.33,1.96,8.92,10.38,1.78,2.69,0.43,0.54,5.41,1.08,$687.08,$137.42,$4.27,$0.85,$276.00,$55.20,$1.71,$0.34
NAVAJO CHIEFTAIN,PIPER,Piston,Yes,1973,1984,1973-1984,No,40,51,1,"24,000","2,633",13.00,40.80,34.80,"18,458",4.30,4.20,10.91,197.03,78,9.4,380,175,9,"$352,000","$287,011",2.3,238,$0,$284.76,0.0,0,$0,"$100,250","$113,904","$90,255","$214,154","$125,505","$1,044,516","$757,504","$1,353,830",0.56,"-$596,326",5.97,13.28,0.66,27.49,44.39,3.05,28.83,37.92,3.20,6.80,1.25,0.76,19.58,2.18,"$1,070.77",$118.97,$6.12,$0.68,$569.52,$63.28,$3.25,$0.36
SENECA IV,PIPER,Piston,Yes,1994,1996,1994-1996,Yes,28,30,1,"25,000","1,755",9.92,38.92,28.70,"11,081",3.60,4.10,8.30,122.51,32,9.0,68,156,5,"$308,000","$251,135",2.6,267,$0,$209.40,0.0,0,$0,"$97,270","$83,760","$74,453","$181,030","$106,723","$898,482","$647,347","$1,116,800",0.58,"-$469,453",5.76,12.56,1.15,132.13,257.80,26.43,135.18,185.03,27.04,4.82,0.86,0.96,92.94,18.59,$905.15,$181.03,$5.80,$1.16,$418.80,$83.76,$2.68,$0.54
BONANZA A36,BEECHCRAFT,Piston,No,1970,2005,1970-2005,Yes,19,54,1,"18,500","1,865",8.70,33.60,27.60,"8,068",4.20,3.60,10.70,161.78,37,5.0,660,169,5,"$416,000","$339,195",2.4,246,$0,$122.82,0.0,0,$0,"$85,720","$49,128","$40,310","$134,848","$61,030","$797,956","$458,761","$604,652",0.76,"-$145,892",4.72,9.00,0.94,12.09,12.98,2.42,10.99,13.24,2.20,2.32,0.36,0.46,6.80,1.36,$674.24,$134.85,$3.99,$0.80,$245.64,$49.13,$1.45,$0.29
BARON 58P,BEECHCRAFT,Piston,Yes,1976,1986,1976-1986,No,38,48,1,"25,000","2,576",9.20,37.80,29.80,"10,363",4.10,3.60,10.70,157.93,46,6.6,770,191,5,"$419,000","$341,641",2.1,218,$0,$312.30,0.0,0,$0,"$99,680","$124,920","$90,692","$224,600","$125,372","$1,123,221","$781,579","$1,360,385",0.57,"-$578,806",5.88,12.98,1.18,14.59,18.08,2.92,15.53,19.52,3.11,7.35,1.35,1.47,10.44,2.09,"$1,123.00",$224.60,$5.88,$1.18,$624.60,$124.92,$3.27,$0.65
404,CESSNA,Piston,Yes,1977,1981,1977-1981,No,43,47,1,"26,000","2,308",13.30,46.40,39.60,"24,438",4.30,4.70,7.90,159.66,138,15.3,384,217,7,"$455,000","$370,995",1.8,192,$0,$343.38,0.0,0,$0,"$104,995","$137,352","$87,770","$242,347","$127,765","$1,177,832","$806,837","$1,316,554",0.61,"-$509,717",5.43,11.42,0.78,30.67,50.88,4.38,31.15,41.13,4.45,7.46,1.37,1.07,21.25,3.04,"$1,211.74",$173.11,$5.58,$0.80,$686.76,$98.11,$3.16,$0.45
SR22-G3,CIRRUS,Piston,No,2007,2012,2007-2012,Yes,12,17,1,"17,500","1,535",8.90,38.40,26.00,"8,886",4.20,4.10,10.91,187.87,32,4.7,884,180,3,"$479,000","$390,564",2.2,231,$0,$94.82,0.0,0,$0,"$84,360","$37,928","$29,219","$122,288","$48,579","$810,330","$419,766","$438,279",0.96,"-$18,513",4.50,8.25,1.50,9.17,7.02,3.06,7.63,8.60,2.54,1.71,0.24,0.57,4.42,1.47,$611.44,$203.81,$3.40,$1.13,$189.64,$63.21,$1.05,$0.35
421C,CESSNA,Piston,Yes,1976,1985,1976-1985,No,39,48,1,"30,200","2,265",11.60,41.20,36.91,"17,640",4.30,4.70,11.30,228.37,84,7.7,790,231,7,"$503,000","$410,132",1.7,180,$0,$316.50,0.0,0,$0,"$102,955","$126,600","$75,997","$229,555","$113,952","$1,165,625","$755,493","$1,139,948",0.66,"-$384,455",5.05,10.11,0.72,14.75,18.42,2.11,14.27,17.77,2.04,6.39,1.16,0.91,9.47,1.35,"$1,147.78",$163.97,$4.97,$0.71,$633.00,$90.43,$2.74,$0.39
ARCHER III,PIPER,Piston,No,1995,2010,1995-2010,Yes,14,29,1,"18,000","1,852",7.40,35.60,24.00,"6,323",4.10,3.60,7.40,109.22,24,5.8,472,118,3,"$242,000","$197,320",3.4,353,$0,$82.12,0.0,0,$0,"$81,065","$32,848","$38,601","$113,913","$54,666","$560,010","$362,690","$579,016",0.63,"-$216,326",4.75,9.08,1.58,11.86,12.52,3.95,10.80,12.98,3.60,1.56,0.21,0.52,6.60,2.20,$569.57,$189.86,$4.83,$1.61,$164.24,$54.75,$1.39,$0.46
6X,PIPER,Piston,No,2004,2007,2004-2007,Yes,17,20,1,"13,500","1,977",9.60,36.20,27.92,"9,703",4.10,3.60,8.40,123.98,24,7.8,750,148,5,"$389,000","$317,180",2.7,281,$0,$112.54,0.0,0,$0,"$82,015","$45,016","$42,177","$127,031","$59,192","$756,781","$439,601","$632,657",0.69,"-$193,056",5.11,10.34,1.02,10.09,8.91,2.02,9.62,11.35,1.92,2.30,0.36,0.46,5.86,1.17,$635.16,$127.03,$4.29,$0.86,$225.08,$45.02,$1.52,$0.30
SARATOGA II TC,PIPER,Piston,No,1998,2008,1998-2008,Yes,16,26,1,"20,000","1,764",8.60,36.20,27.92,"8,692",4.10,3.60,8.30,122.51,24,7.1,114,183,5,"$495,000","$403,609",2.2,227,$0,$147.00,0.0,0,$0,"$84,515","$58,800","$44,555","$143,315","$64,070","$906,741","$503,132","$668,328",0.75,"-$165,196",4.95,9.80,0.99,79.54,150.54,15.91,80.17,108.94,16.03,2.91,0.48,0.58,54.71,10.94,$716.58,$143.32,$3.92,$0.78,$294.00,$58.80,$1.61,$0.32
SENECA V,PIPER,Piston,Yes,1997,2024,1997-2024,Yes,0,27,1,"25,000","1,658",9.92,38.92,28.70,"11,081",3.70,4.10,10.40,157.77,32,7.0,412,200,5,"$451,000","$367,733",2.0,208,$0,$190.44,0.0,0,$0,"$104,270","$76,176","$52,815","$180,446","$92,085","$994,694","$626,961","$792,230",0.79,"-$165,270",4.97,9.86,0.99,24.14,37.57,4.83,23.71,30.84,4.74,3.79,0.65,0.76,15.75,3.15,$902.23,$180.45,$4.51,$0.90,$380.88,$76.18,$1.90,$0.38
BONANZA B36TC,BEECHCRAFT,Piston,No,1982,2002,1982-2002,Yes,22,42,1,"25,000","2,077",8.70,37.91,27.60,"9,103",4.20,3.60,10.70,161.78,37,5.6,181,170,5,"$459,000","$374,256",2.4,245,$0,$146.54,0.0,0,$0,"$85,520","$58,616","$47,812","$144,136","$68,332","$885,405","$511,149","$717,184",0.71,"-$206,035",5.21,10.67,1.04,48.92,88.09,9.78,49.38,66.35,9.88,3.05,0.51,0.61,33.43,6.69,$720.68,$144.14,$4.24,$0.85,$293.08,$58.62,$1.72,$0.34
SARATOGA II HP,PIPER,Piston,No,1994,2008,1994-2008,Yes,16,30,1,"20,000","1,715",8.60,36.20,27.90,"8,686",4.10,3.60,8.30,122.51,24,7.1,107,158,5,"$408,000","$332,672",2.5,263,$0,$120.30,0.0,0,$0,"$89,604","$48,120","$42,232","$137,724","$66,836","$817,507","$484,835","$633,478",0.77,"-$148,643",5.17,10.55,1.03,76.40,144.15,15.28,77.35,105.04,15.47,2.49,0.39,0.50,52.72,10.54,$688.62,$137.72,$4.36,$0.87,$240.60,$48.12,$1.52,$0.30
414A RAM V,CESSNA,Piston,Yes,1978,1985,1978-1985,No,39,46,1,"30,800","2,530",11.50,44.20,36.30,"18,451",4.30,4.70,11.30,228.37,85,8.1,"1,020",230,7,"$515,000","$419,917",1.7,181,$0,$256.14,0.0,0,$0,"$104,355","$102,456","$61,771","$206,811","$101,126","$1,115,711","$695,794","$926,559",0.75,"-$230,765",4.85,9.44,0.69,10.94,10.64,1.56,10.04,11.93,1.43,4.97,0.88,0.71,6.41,0.92,"$1,034.06",$147.72,$4.50,$0.64,$512.28,$73.18,$2.23,$0.32
DA 40XLS,DIAMOND,Piston,No,2008,2024,2008-2024,Yes,0,16,1,"16,404","1,121",6.60,39.60,26.50,"6,926",3.80,3.91,8.50,126.29,20,5.5,304,150,3,"$389,000","$317,180",2.7,277,$0,$73.12,0.0,0,$0,"$88,190","$29,248","$27,038","$117,438","$50,228","$711,961","$394,781","$405,572",0.97,"-$10,791",4.75,9.08,1.58,23.42,36.09,7.81,22.59,29.28,7.53,1.39,0.18,0.46,14.73,4.91,$587.19,$195.73,$3.91,$1.30,$146.24,$48.75,$0.97,$0.32
172XP,CESSNA,Piston,No,1977,1981,1977-1981,No,43,47,1,"17,000","1,592",8.92,36.10,27.20,"8,759",4.00,3.30,11.90,157.08,30,5.6,334,115,3,"$241,000","$196,505",3.5,362,$0,$81.88,0.0,0,$0,"$81,650","$32,752","$39,492","$114,402","$56,142","$566,207","$369,702","$592,384",0.62,"-$222,682",4.92,9.69,1.64,16.95,22.90,5.65,16.30,20.58,5.43,1.61,0.22,0.54,10.40,3.47,$572.01,$190.67,$4.97,$1.66,$163.76,$54.59,$1.42,$0.47
SUPER CUB,PIPER,Piston,No,1949,1994,1949-1994,No,30,75,1,"19,000",487,6.80,35.20,22.70,"5,433",3.70,2.10,7.30,56.72,18,9.6,332,100,1,"$160,000","$130,460",4.0,416,$0,$54.18,0.0,0,$0,"$81,545","$21,672","$30,052","$103,217","$46,597","$422,525","$292,065","$450,778",0.65,"-$158,713",4.23,7.30,4.23,12.73,14.28,12.73,10.79,12.96,10.79,0.92,0.08,0.92,6.52,6.52,$516.09,$516.09,$5.16,$5.16,$108.36,$108.36,$1.08,$1.08
206H,CESSNA,Piston,No,1998,2013,1998-2013,Yes,11,26,1,"15,700","1,816",9.40,36.00,28.30,"9,577",4.10,3.60,12.00,177.12,11,5.4,509,128,5,"$345,000","$281,304",3.1,325,$0,$110.34,0.0,0,$0,"$85,170","$44,136","$47,814","$129,306","$67,984","$748,616","$467,313","$717,210",0.65,"-$249,897",5.85,12.87,1.17,14.71,18.32,2.94,15.59,19.61,3.12,2.58,0.41,0.52,10.01,2.00,$646.53,$129.31,$5.05,$1.01,$220.68,$44.14,$1.72,$0.34
414A,CESSNA,Piston,Yes,1978,1981,1978-1981,No,43,46,1,"30,800","2,530",11.55,44.15,36.45,"18,587",4.30,4.70,11.30,228.37,85,8.1,705,203,7,"$515,000","$419,917",2.0,205,$0,$293.54,0.0,0,$0,"$104,355","$117,416","$80,205","$221,771","$119,560","$1,207,885","$787,968","$1,203,080",0.65,"-$415,112",5.95,13.21,0.85,17.13,23.27,2.45,18.24,23.27,2.61,6.99,1.28,1.00,12.28,1.75,"$1,108.86",$158.41,$5.46,$0.78,$587.08,$83.87,$2.89,$0.41
T182T,CESSNA,Piston,No,2001,2013,2001-2013,Yes,11,23,1,"20,000","1,350",9.40,36.00,29.00,"9,814",4.00,3.60,11.20,161.28,32,6.1,669,152,3,"$489,000","$398,717",2.6,274,$0,$91.86,0.0,0,$0,"$84,890","$36,744","$33,521","$121,634","$53,411","$846,337","$447,620","$502,813",0.89,"-$55,193",5.57,11.90,1.86,12.65,14.13,4.22,13.02,16.04,4.34,2.05,0.31,0.68,8.18,2.73,$608.17,$202.72,$4.00,$1.33,$183.72,$61.24,$1.21,$0.40
MALIBU MATRIX G1000,PIPER,Piston,No,2008,2024,2008-2024,Yes,0,16,1,"25,000","2,242",11.40,43.00,28.92,"14,177",3.91,4.20,12.50,205.28,33,6.9,518,203,5,"$611,000","$498,193",2.0,205,$0,$153.50,0.0,0,$0,"$92,405","$61,400","$41,942","$153,805","$69,347","$1,070,540","$572,347","$629,123",0.91,"-$56,776",5.27,10.89,1.05,20.67,30.48,4.13,20.68,26.65,4.14,3.24,0.54,0.65,13.60,2.72,$769.03,$153.81,$3.79,$0.76,$307.00,$61.40,$1.51,$0.30
SR22-G5 TURBO,CIRRUS,Piston,No,2013,2016,2013-2016,Yes,8,11,1,"25,000","1,608",8.92,38.40,26.00,"8,906",4.20,4.10,10.90,187.70,32,4.7,145,201,3,"$624,000","$508,793",2.0,207,$0,$105.11,0.0,0,$0,"$89,163","$42,042","$29,004","$131,205","$53,167","$1,005,040","$496,248","$435,061",1.14,"$61,186",5.00,9.96,1.67,69.31,129.69,23.10,69.82,94.62,23.27,2.10,0.32,0.70,47.47,15.82,$656.02,$218.67,$3.26,$1.09,$210.21,$70.07,$1.05,$0.35
TTX,CESSNA,Piston,No,2012,2018,2012-2018,Yes,6,12,1,"25,000","1,852",9.00,36.00,25.20,"8,165",4.10,4.10,11.80,198.36,25,4.1,489,220,3,"$676,000","$551,192",1.8,189,$0,$108.18,0.0,0,$0,"$88,245","$43,272","$27,274","$131,517","$50,519","$1,053,405","$502,213","$409,117",1.23,"$93,096",4.79,9.23,1.60,21.54,32.26,7.18,20.74,26.73,6.91,2.07,0.31,0.69,13.52,4.51,$657.59,$219.20,$2.99,$1.00,$216.36,$72.12,$0.98,$0.33
SR22-G5,CIRRUS,Piston,No,2013,2016,2013-2016,Yes,8,11,1,"25,000","1,608",8.92,38.40,26.00,"8,906",4.20,4.10,10.91,187.87,32,4.7,145,201,3,"$638,000","$520,208",2.0,207,$0,$105.11,0.0,0,$0,"$89,463","$42,042","$29,004","$131,505","$53,467","$1,023,125","$502,917","$435,061",1.16,"$67,856",5.09,10.26,1.70,70.56,132.23,23.52,71.25,96.60,23.75,2.14,0.33,0.71,48.46,16.15,$657.52,$219.17,$3.27,$1.09,$210.21,$70.07,$1.05,$0.35
SR20-G6,CIRRUS,Piston,No,2016,2024,2016-2024,Yes,0,8,1,"17,500","1,909",8.92,38.40,26.00,"8,906",4.20,4.10,10.90,187.70,32,4.7,780,155,3,"$558,000","$454,978",2.6,268,$0,$74.38,0.0,0,$0,"$84,960","$29,752","$26,617","$114,712","$46,577","$893,906","$438,928","$399,253",1.10,"$39,676",5.77,12.59,1.92,11.46,11.70,3.82,12.14,14.84,4.05,1.72,0.24,0.57,7.54,2.51,$573.56,$191.19,$3.70,$1.23,$148.76,$49.59,$0.96,$0.32
MALIBU MIRAGE G1000,PIPER,Piston,No,1989,2024,1989-2024,Yes,0,35,1,"25,000","2,243",11.30,43.00,28.90,"14,043",3.91,4.20,12.40,203.63,33,6.9,113,203,5,"$661,000","$538,961",2.0,205,$0,$172.46,0.0,0,$0,"$93,005","$68,984","$47,122","$161,989","$75,127","$1,158,674","$619,713","$706,831",0.88,"-$87,118",5.71,12.38,1.14,102.54,197.45,20.51,104.92,143.17,20.98,3.94,0.68,0.79,71.92,14.38,$809.95,$161.99,$3.99,$0.80,$344.92,$68.98,$1.70,$0.34
172SP,CESSNA,Piston,No,1998,2024,1998-2024,Yes,0,26,1,"14,000","1,642",8.92,36.10,27.20,"8,759",4.00,3.30,11.90,157.08,30,5.6,343,115,3,"$421,000","$343,272",3.5,362,$0,$67.14,0.0,0,$0,"$84,035","$26,856","$32,383","$110,891","$51,418","$755,818","$412,546","$485,743",0.85,"-$73,198",6.57,15.35,2.19,22.04,33.27,7.35,24.31,31.66,8.10,1.77,0.25,0.59,15.96,5.32,$554.46,$184.82,$4.82,$1.61,$134.28,$44.76,$1.17,$0.39
T210R,CESSNA,Piston,No,1985,1986,1985-1986,No,38,39,1,"29,000","2,057",9.80,36.90,28.20,"10,198",4.00,3.60,8.80,126.72,21,8.0,903,182,5,"$717,000","$584,622",2.2,229,$0,$153.00,0.0,0,$0,"$84,785","$61,200","$46,629","$145,985","$66,414","$1,181,446","$596,823","$699,429",0.85,"-$102,605",6.49,15.07,1.30,13.08,15.01,2.62,15.04,18.84,3.01,3.97,0.69,0.79,9.77,1.95,$729.93,$145.99,$4.01,$0.80,$306.00,$61.20,$1.68,$0.34
T206H,CESSNA,Piston,No,1998,2024,1998-2024,Yes,0,26,1,"27,000","1,699",9.40,36.00,28.30,"9,577",4.10,3.60,12.00,177.12,11,5.4,426,152,5,"$637,000","$519,392",2.6,274,$0,$105.52,0.0,0,$0,"$88,558","$42,208","$38,506","$130,766","$62,063","$1,064,923","$545,530","$577,583",0.94,"-$32,053",7.01,16.84,1.40,25.00,39.31,5.00,28.07,36.87,5.61,2.96,0.49,0.59,18.68,3.74,$653.83,$130.77,$4.30,$0.86,$211.04,$42.21,$1.39,$0.28
DA 42 TWINSTAR,DIAMOND,Piston,Yes,2005,2009,2005-2009,Yes,15,19,1,"18,000","2,486",8.20,44.50,28.10,"10,254",4.10,3.90,8.50,135.92,15,7.5,572,152,3,"$611,000","$498,193",2.6,274,$0,$118.73,0.0,0,$0,"$102,248","$47,490","$43,324","$149,738","$80,572","$1,126,666","$628,473","$649,863",0.97,"-$21,390",7.41,18.23,2.47,19.70,28.50,6.57,23.36,30.36,7.79,3.52,0.60,1.17,15.48,5.16,$748.69,$249.56,$4.93,$1.64,$237.45,$79.15,$1.56,$0.52
SR22-G6,CIRRUS,Piston,No,2017,2024,2017-2024,Yes,0,7,1,"17,500","2,015",8.92,38.30,26.00,"8,883",4.20,4.10,10.90,187.70,32,4.7,702,185,3,"$823,000","$671,052",2.2,225,$0,$95.39,0.0,0,$0,"$89,163","$38,154","$28,598","$127,317","$52,761","$1,238,752","$567,701","$428,975",1.32,"$138,726",6.70,15.77,2.23,17.65,24.32,5.88,20.04,25.77,6.68,2.55,0.41,0.85,13.09,4.36,$636.58,$212.19,$3.44,$1.15,$190.77,$63.59,$1.03,$0.34
ARCHER LX,PIPER,Piston,No,2010,2024,2010-2024,Yes,0,14,1,"14,000","1,853",7.30,35.60,24.00,"6,237",4.10,3.60,7.40,109.22,24,5.7,472,118,3,"$582,000","$474,547",3.4,353,$0,$81.12,0.0,0,$0,"$82,580","$32,448","$38,131","$115,028","$55,711","$968,008","$493,461","$571,965",0.86,"-$78,504",8.20,20.94,2.73,20.51,30.15,6.84,25.55,33.38,8.52,2.66,0.43,0.89,16.90,5.63,$575.14,$191.71,$4.87,$1.62,$162.24,$54.08,$1.37,$0.46
BONANZA G36,BEECHCRAFT,Piston,No,2006,2024,2006-2024,Yes,0,18,1,"18,500","1,865",8.70,33.60,27.60,"8,068",4.20,3.60,10.70,161.78,37,5.0,108,169,5,"$823,000","$671,052",2.4,246,$0,$116.56,0.0,0,$0,"$89,720","$46,624","$38,256","$136,344","$62,976","$1,289,826","$618,774","$573,834",1.08,"$44,941",7.63,18.98,1.53,119.43,231.90,23.89,125.44,171.56,25.09,3.56,0.61,0.71,86.08,17.22,$681.72,$136.34,$4.03,$0.81,$233.12,$46.62,$1.38,$0.28
SR22-G6 TURBO,CIRRUS,Piston,No,2017,2024,2017-2024,Yes,0,7,1,"25,000","2,250",8.92,38.30,26.00,"8,883",4.20,4.10,10.90,187.70,32,4.7,492,170,3,"$881,000","$718,343",2.4,245,$0,$112.04,0.0,0,$0,"$89,163","$44,816","$36,556","$133,979","$60,718","$1,347,248","$628,905","$548,337",1.15,"$80,568",7.92,19.99,2.64,27.38,44.17,9.13,32.08,42.42,10.69,3.55,0.60,1.18,21.51,7.17,$669.89,$223.30,$3.94,$1.31,$224.08,$74.69,$1.32,$0.44
DA 42-VI TWINSTAR,DIAMOND,Piston,Yes,2010,2024,2010-2024,Yes,0,14,1,"18,000","2,345",8.20,44.40,28.10,"10,231",4.10,3.90,8.50,135.92,15,7.5,221,171,3,"$942,000","$768,081",2.3,243,$0,$119.06,0.0,0,$0,"$105,740","$47,624","$38,619","$153,364","$79,359","$1,512,714","$744,633","$579,286",1.29,"$165,347",8.85,23.15,2.95,68.45,127.92,22.82,75.54,102.53,25.18,4.21,0.74,1.40,51.63,17.21,$766.82,$255.61,$4.48,$1.49,$238.12,$79.37,$1.39,$0.46
M350,PIPER,Piston,No,2015,2024,2015-2024,Yes,0,9,1,"25,000","2,900",11.30,43.00,28.90,"14,043",3.91,4.20,12.40,203.63,33,6.9,470,201,5,"$1,252,000","$1,020,847",2.0,207,$0,$155.72,0.0,0,$0,"$93,780","$62,288","$42,971","$156,068","$71,751","$1,841,911","$821,064","$644,572",1.27,"$176,492",9.16,24.24,1.83,39.19,68.25,7.84,46.25,62.01,9.25,5.71,1.03,1.14,31.52,6.30,$780.34,$156.07,$3.88,$0.78,$311.44,$62.29,$1.55,$0.31
BARON G58,BEECHCRAFT,Piston,Yes,2006,2024,2006-2024,Yes,0,18,1,"18,500","2,242",9.90,37.91,29.91,"11,225",4.10,3.60,10.70,157.93,46,7.1,152,197,4,"$1,263,000","$1,029,816",2.0,211,$0,$191.66,0.0,0,$0,"$110,980","$76,664","$53,963","$187,644","$99,943","$1,995,900","$966,084","$809,447",1.19,"$156,637",10.13,27.56,2.53,131.31,256.13,32.83,141.84,194.25,35.46,7.77,1.44,1.94,97.84,24.46,$938.22,$234.56,$4.76,$1.19,$383.32,$95.83,$1.95,$0.49
DA 62,DIAMOND,Piston,Yes,2016,2024,2016-2024,Yes,0,8,1,"20,000","2,900",9.30,47.90,30.20,"13,453",4.10,3.90,8.50,135.92,15,9.9,900,185,5,"$1,571,000","$1,280,951",2.2,225,$0,$117.31,0.0,0,$0,"$107,920","$46,924","$35,172","$154,844","$78,092","$2,251,509","$970,558","$527,578",1.84,"$442,980",12.17,34.55,2.43,25.02,39.35,5.00,36.95,49.15,7.39,5.71,1.03,1.14,25.09,5.02,$774.22,$154.84,$4.18,$0.84,$234.62,$46.92,$1.27,$0.25
MERIDIAN,PIPER,Turboprop,No,1999,2015,1999-2015,Yes,9,25,1,"30,000","1,950",11.30,43.00,29.60,"14,383",3.91,4.20,12.30,202.0,20,7.1,476,261,5,"$1,231,000","$1,003,724",1.5,159,$0,$450.58,0.0,0,$0,"$196,188","$405,522","$155,603","$601,710","$269,091","$2,803,729","$1,800,005","$1,436,332",1.25,"$363,674",10.74,29.65,2.15,58.90,108.45,11.78,69.05,93.56,13.81,19.36,3.72,3.87,48.64,9.73,"$1,337.13",$267.43,$5.12,$1.02,$901.16,$180.23,$3.45,$0.69
ECLIPSE 500,ECLIPSE,Business Jet,Yes,2006,2008,2006-2008,Yes,16,18,1,"41,000","2,825",11.00,39.87,33.40,"14,648",4.20,4.80,7.70,155.2,16,9.4,560,369,3,"$1,510,000","$1,231,213",1.1,113,$0,$738.04,0.0,0,$0,"$330,626","$664,236","$180,276","$994,862","$380,902","$3,693,299","$2,462,087","$1,664,090",1.48,"$797,996",10.01,27.14,3.34,65.95,122.83,21.98,74.98,101.77,24.99,29.55,5.74,9.85,53.75,17.92,"$2,210.80",$736.93,$5.99,$2.00,"$1,476.08",$492.03,$4.00,$1.33
FALCON 10,DASSAULT,Business Jet,Yes,1973,1983,1973-1983,No,41,51,2,"45,000","4,338",15.10,42.92,45.60,"29,553",4.92,4.91,12.80,309.2,41,9.6,"1,482",452,6,"$350,000","$285,380",0.9,92,$0,"$1,640.94",0.0,0,$0,"$478,954","$1,476,846","$327,220","$1,955,800","$676,174","$3,795,489","$3,510,109","$3,020,491",1.16,"$489,617",8.40,21.61,1.40,25.61,40.56,4.27,31.08,41.04,5.18,55.12,10.78,9.19,25.91,4.32,"$4,346.22",$724.37,$9.62,$1.60,"$3,281.88",$546.98,$7.26,$1.21
TBM-850,SOCATA,Turboprop,No,2006,2013,2006-2013,Yes,11,18,1,"31,000","3,022",14.30,41.60,34.90,"20,761",4.10,4.00,10.00,164.0,35.9,12.7,"1,074",316,5,"$2,057,000","$1,677,222",1.3,132,$0,$609.44,0.0,0,$0,"$210,188","$548,496","$173,832","$758,684","$301,320","$3,943,378","$2,266,156","$1,604,602",1.41,"$661,554",12.48,35.61,2.50,36.72,63.21,7.34,49.41,66.39,9.88,30.42,5.91,6.08,36.15,7.23,"$1,685.96",$337.19,$5.34,$1.07,"$1,218.88",$243.78,$3.86,$0.77
WESTWIND 1,IAI,Business Jet,Yes,1979,1987,1979-1987,No,37,45,2,"45,000","5,265",15.91,44.91,52.30,"37,369",4.92,4.91,15.60,376.9,63,9.9,"1,979",424,7,"$299,000","$243,796",0.9,98,$0,"$1,592.72",0.0,0,$0,"$493,829","$1,433,448","$338,578","$1,927,277","$702,407","$3,866,240","$3,622,443","$3,125,337",1.16,"$497,106",9.12,24.08,1.30,19.54,28.17,2.79,26.13,34.18,3.73,58.09,11.37,8.30,22.77,3.25,"$4,282.84",$611.83,$10.10,$1.44,"$3,185.44",$455.06,$7.51,$1.07
ECLIPSE 550,ECLIPSE,Business Jet,Yes,2013,2017,2013-2017,Yes,7,11,1,"41,000","2,825",11.00,39.87,33.40,"14,648",4.20,4.80,7.60,153.2,16,9.6,560,369,3,"$1,700,000","$1,386,134",1.1,113,$0,$738.04,0.0,0,$0,"$334,625","$664,236","$180,276","$998,861","$384,901","$3,938,374","$2,552,240","$1,664,090",1.53,"$888,150",10.67,29.42,3.56,70.33,131.76,23.44,80.59,109.52,26.86,31.51,6.12,10.50,57.82,19.27,"$2,219.69",$739.90,$6.02,$2.01,"$1,476.08",$492.03,$4.00,$1.33
WESTWIND 2,IAI,Business Jet,Yes,1980,1987,1980-1987,No,37,44,2,"45,000","6,045",15.91,44.91,52.30,"37,369",4.92,4.91,15.60,376.9,49,9.9,"2,096",424,7,"$375,000","$305,765",0.9,98,$0,"$1,578.32",0.0,0,$0,"$493,829","$1,420,488","$335,517","$1,914,317","$699,346","$3,940,966","$3,635,201","$3,097,081",1.17,"$538,120",9.29,24.69,1.33,18.80,26.67,2.69,25.68,33.56,3.67,58.68,11.49,8.38,22.52,3.22,"$4,254.04",$607.72,$10.03,$1.43,"$3,156.64",$450.95,$7.44,$1.06
TBM-700C2,SOCATA,Turboprop,No,2003,2006,2003-2006,Yes,18,21,1,"31,000","3,022",14.30,41.60,34.90,"20,761",4.10,4.00,10.00,164.0,35,12.7,975,295,5,"$2,050,000","$1,671,514",1.4,141,$0,$566.32,0.0,0,$0,"$201,188","$509,688","$173,032","$710,876","$291,520","$3,886,084","$2,214,570","$1,597,214",1.39,"$617,355",13.17,37.99,2.63,39.86,69.61,7.97,53.80,72.46,10.76,29.84,5.79,5.97,39.13,7.83,"$1,579.72",$315.94,$5.35,$1.07,"$1,132.64",$226.53,$3.84,$0.77
